三時,TAM THỜI,ba giờ,
書き始める,THƯ THỦY,bắt đầu viết,
始発,THỦY PHÁT,chuyến đầu tiên,
原始的な,NGUYÊN THỦY ,thô sơ,
研究,NGHIÊN CỨU,nghiên cứu,
研究者,NGHIÊN CỨU GIẢ,nhà nghiên cứu,
研究室,NGHIÊN CỨU THẤT,phòng thí nghiệm,
研究所,NGHIÊN CỨU SỞ,phòng thí nghiệm,
研修室,NGHIÊN TU THẤT,phòng đào tạo,
研ぐ,NGHIÊN,làm sắc nét,
研究,NGHIÊN CỨU,nghiên cứu,
研究者,NGHIÊN CỨU GIẢ,nhà nghiên cứu,
研究室,NGHIÊN CỨU THẤT,phòng thí nghiệm,
究明,CỨU MINH,điều tra,
究極の,CỨU CỰC,cuối cùng,
究める,CỨU,triệt để điều tra,
探究,THAM CỨU,tìm kiếm,
産業,SẢN NGHIỆP,công nghiệp,
生産,"SANH,SINH SẢN",sản xuất,
お土産,THỔ SẢN,món quà lưu niệm,
産地,SẢN ĐỊA,nơi,
共産主義,CỘNG SẢN CHỦ NGHĨA,chủ nghĩa cộng sản,
財産,TÀI SẢN,bất động sản,
有無,HỮU ,sự hiện diện hay vắng mặt,
不動産,BẤT ĐỘNG SẢN,địa ốc,
薬,DƯỢC,y học,
薬屋,DƯỢC ỐC,người chế thuốc,
農薬,NÔNG DƯỢC,thuốc trừ sâu,
薬局,DƯỢC CỤC,tiệm thuốc tây,
薬指,DƯỢC CHỈ,ngón đeo nhẫn,
風邪薬,PHONG TÀ DƯỢC,thuốc cảm lạnh,
薬学,DƯỢC HỌC,tiệm thuốc tây,
会社員,HỘI XÃ VIÊN,nhân viên công ty,
店員,ĐIẾM VIÊN,nhân viên,
銀行員,NGÂN HÀNH VIÊN,chủ ngân hàng,
全員,TOÀN VIÊN,tất cả thành viên,
公務員,CÔNG VỤ VIÊN,dịch vụ dân sự,
会員,HỘI VIÊN,thành viên,
満員,MÃN VIÊN,thành viên dự bị,
教員,GIÁO VIÊN,giảng viên,
武士,VŨ SĨ,samurai,
弁護士,BIỆN HỘ SĨ,luật sư,
紳士,THÂN SĨ,người hào hoa,
消防士,TIÊU PHÒNG SĨ,lính cứu hỏa,
会計士,HỘI KẾ SĨ,viên kế toán,
税理士,THUẾ LÍ SĨ,kế toán thuế,
事,SỰ,điều,
仕事,SĨ SỰ,công việc,
火事,HỎA SỰ,cháy,
食事,THỰC SỰ,bữa ăn,
返事,PHẢN SỰ,đáp lại,
事故,SỰ CỐ,tai nạn,
用事,DỤNG SỰ,đừng bận tâm,
事務所,SỰ VỤ SỞ,văn phòng,
昔,TÍCH,ngày xưa,
昔話,TÍCH THOẠI,old câu chuyện,
大昔,ĐẠI TÍCH,long trước đây,
昔々,TÍCH,ngay xửa ngay xưa,
今昔,KIM TÍCH,quá khứ và hiện tại,
時代,THỜI ĐẠI,kỷ nguyên,
電気代,ĐIỆN KHÍ ĐẠI,hóa đơn tiền điện,
代わりに,ĐẠI,thay thế,
六十年代,LỤC THẬP NIÊN ĐẠI,sáu mươi,
十代,THẬP ĐẠI,năm teen,
代表,ĐẠI BIỂU,tiêu biểu,
現代,HIỆN ĐẠI,hôm nay,
代金,ĐẠI KIM,giá,
身代金, ĐẠI KIM,tiền chuộc,
地図,ĐỊA ĐỒ,bản đồ,
地理,ĐỊA LÍ,địa lý,
地下室,ĐỊA HẠ THẤT,tầng hầm,
地下鉄,ĐỊA HẠ THIẾT,xe điện ngầm,
地震,ĐỊA CHẤN,động đất,
意地悪な,Ý ĐỊA ÁC,nghĩa là,
地方,ĐỊA PHƯƠNG,vùng,
地球,ĐỊA CẦU,đất,
一度,NHẤT ĐỘ,một lần,
今度,KIM ĐỘ,thời gian này,
三十度,TAM THẬP ĐỘ,ba mươi độ,
温度,ÔN ĐỘ,nhiệt độ,
度々,ĐỘ,thường,
支度する,CHI ĐỘ,mặc quần áo,
速度,TỐC ĐỘ,tốc độ,
限度,HẠN ĐỘ,giới hạn,
一回,NHẤT HỒI,một lần,
何回,HÀ HỒI,nhiều lần,
回る,HỒI,xoay,
回数券,"HỒI SỔ,SỐ KHOÁN",vé phiếu giảm giá,
今回,KIM HỒI,thời gian này,
回答,HỒI ĐÁP,câu trả lời,
回復,HỒI PHỤC,phục hồi,
回転,HỒI CHUYỂN,xoay,
用/用事,DỤNG DỤNG SỰ,sử dụng/việc vặt,
用意する,DỤNG Ý,chuẩn bị,
利用する,LỢI DỤNG,dùng,
用語,DỤNG NGỮ,kỳ hạn,
用紙,DỤNG CHỈ,hình thức,
使用する,SỬ DỤNG,sử dụng,
費用,PHÍ DỤNG,giá cả,
用いる,DỤNG,dùng,
注意する,CHÚ Ý,chú ý,
注文する,CHÚ VĂN,trật tự,
注射,CHÚ XẠ,tiêm,
注目,CHÚ MỤC,chú ý,
発注する,PHÁT CHÚ,trật tự,
不注意,BẤT CHÚ Ý,bất cẩn,
注ぐ,CHÚ,đổ vào,
頭,ĐẦU,đầu,
頭痛,ĐẦU THỐNG,đau đầu,
先頭,TIÊN ĐẦU,đầu,
二頭,NHỊ ĐẦU,bắp thịt hai đầu,
頭脳,ĐẦU NÃO,óc,
頭文字,ĐẦU VĂN TỰ,tắt,
温度,ÔN ĐỘ,nhiệt độ,
店頭,ĐIẾM ĐẦU,trong truy cập,
声,THANH,tiếng nói,
音声学,ÂM THANH HỌC,ngữ âm học,
声変わり,THANH BIẾN,đổi giọng,
擬声語,NGHĨ THANH NGỮ,từ tượng thanh,
声楽,"THANH NHẠC,LẠC",thanh nhạc,
声優,THANH ƯU,diễn viên lồng tiếng,
声色,THANH SẮC,âm sắc,
別れる,BIỆT,chia tay,
特別な,ĐẶC BIỆT,đặc biệt,
別に,BIỆT,khác nhau,
別の,BIỆT,nữa,
別々に,BIỆT,riêng,
性別,TÍNH BIỆT,tính,
差別,SAI BIỆT,phân biệt,
別荘,BIỆT TRANG,biệt thự,
合う,HỢP,bộ đồ,
試合,THÍ HỢP,trận đấu,
間に合う,GIAN HỢP,luôn đúng giờ,
都合,ĐÔ HỢP,sự tiện lợi,
場合,"TRÀNG,TRƯỜNG HỢP",trường hợp,
似合う,TỰ HỢP,trở thành,
付き合う,PHÓ HỢP,xã hội hóa,
合宿,HỢP TÚC,trại huấn luyện,
お正月,CHÁNH NGUYỆT,năm mới,
正しい,CHÁNH,đúng,
正式な,CHÁNH THỨC,chính thức,
正午,CHÁNH NGỌ,buổi trưa,
正直な,CHÁNH TRỰC,thành thật,
正確な,CHÁNH XÁC,chính xác,
正解,CHÁNH GIẢI,câu trả lời đúng,
正に,CHÁNH,chính xác,
時計,THỜI KẾ,đồng hồ,
計画,KẾ HỌA,kế hoạch,
合計,HỢP KẾ,tổng số,
計る,KẾ,đo,
会計士,HỘI KẾ SĨ,viên kế toán,
統計,THỐNG KẾ,thống kê,
計算する,KẾ TOÁN,tính toán,
家計,GIA KẾ,ngân sách gia đình,
東京,ĐÔNG KINH,tokyo,
京子,KINH TỬ,kyoko,
京都,KINH ĐÔ,kyoto,
京阪神,KINH  THẦN,khu vực keihanshin,
上京する,THƯỢNG KINH,hãy đến tokyo,
不便な,BẤT TIỆN,bất tiện,
不安な,BẤT AN,khó chịu,
不思議な,BẤT TƯ NGHỊ,lạ lùng,
不幸,BẤT HẠNH,bất hạnh,
水不足,THỦY BẤT TÚC,thiếu nước,
不可能な,BẤT  NĂNG,không thể được,
不公平な,BẤT CÔNG BÌNH,không lành mạnh,
不景気,BẤT CẢNH KHÍ,suy thoái kinh tế,
不便な,BẤT TIỆN,bất tiện,
便利な,TIỆN LỢI,tiện lợi,
郵便局,BƯU TIỆN CỤC,bưu điện,
便り,TIỆN,tin tức,
便所,TIỆN SỞ,nhà vệ sinh,
航空便,HÀNG KHÔNG TIỆN,chuyến bay,
船便,THUYỀN TIỆN,dịch vụ vận chuyển,
便せん,TIỆN,văn phòng phẩm,
便,TIỆN,chuyến bay,
戸,HỘ,cửa,
戸棚,HỘ BẰNG,tủ đựng chén,
井戸,TỈNH HỘ,tốt,
戸締り,HỘ ĐẾ,đóng cửa tăng,
網戸,VÕNG HỘ,màn cửa,
江戸時代,GIANG HỘ THỜI ĐẠI,kỷ edo,
戸籍,HỘ TỊCH,điều tra dân số,
屋上,ỐC THƯỢNG,mái nhà,
八百屋,BÁT BÁCH ỐC,người bán rau,
部屋,BỘ ỐC,phòng,
床屋,SÀNG ỐC,thợ hớt tóc,
屋根,ỐC CĂN,mái nhà,
名古屋,DANH CỔ ỐC,nagoya,
酒屋,TỬU ỐC,quán rượu,
東京都,ĐÔNG KINH ĐÔ,khu vực tokyo,
首都,THỦ ĐÔ,vốn,
都合,ĐÔ HỢP,sự tiện lợi,
京都,KINH ĐÔ,kyoto,
都会,ĐÔ HỘI,thành phố,
都,ĐÔ,vốn,
都心,ĐÔ TÂM,trung tâm thành phố,
北区,BẮC KHU,"kita-ku,",
区切る,KHU THIẾT,phân biên giới,
区域,KHU VỰC,biên giới,
地区,ĐỊA KHU,khu vực,
区役所,KHU DỊCH SỞ,văn phòng phường,
区別する,KHU BIỆT,phân biệt,
区間,KHU GIAN,tiết diện,
発音,PHÁT ÂM,phát âm,
出発,XUẤT PHÁT,khởi hành,
発表,PHÁT BIỂU,thông cáo,
発明,PHÁT MINH,phát minh,
発見,PHÁT KIẾN,khám phá,
発売,PHÁT MẠI,buôn bán,
始発,THỦY PHÁT,chuyến đầu tiên,
発足,PHÁT TÚC,khánh thành,
週末,CHU MẠT,cuối tuần,
月末,NGUYỆT MẠT,cuối tháng,
年末,NIÊN MẠT,hết năm,
末,MẠT,đầu,
末っ子,MẠT TỬ,con nhỏ nhất,
期末試験,KÌ MẠT THÍ NGHIỆM,thi cuối,
建てる,KIẾN,xây dựng,
建物,KIẾN VẬT,tòa nhà,
建つ,KIẾN,thẳng đứng,
建設,KIẾN THIẾT,xây dựng,
建築,KIẾN TRÚC,kiến trúc,
二階建て,NHỊ GIAI KIẾN,hai tầng,
建国,KIẾN QUỐC,dựng nước,
建立,KIẾN LẬP,lắp máy,
物,VẬT,điều,
食べ物,THỰC VẬT,thức ăn,
飲み物,ẨM VẬT,uống,
買い物,MÃI VẬT,mua sắm,
着物,TRỨ VẬT,kimono,
動物,ĐỘNG VẬT,động vật,
建物,KIẾN VẬT,tòa nhà,
果物,QUẢ VẬT,trái cây,
荷物,HÀ VẬT,hành lý,
旅行,LỮ HÀNH,đi du lịch,
旅館,LỮ QUÁN,quán trọ,
旅券,LỮ KHOÁN,hộ chiếu,
旅,LỮ,cuộc hành trình,
一人旅,NHẤT NHÂN LỮ,du lịch một mình,
旅費,LỮ PHÍ,chi phí đi lại,
進む,TIẾN,trước,
進める,TIẾN,trước,
進学,TIẾN HỌC,thú nhận,
進歩,TIẾN BỘ,tiến bộ,
進化,TIẾN HÓA,sự phát triển,
昇進,THĂNG TIẾN,khuyến mãi,
先進国,TIÊN TIẾN QUỐC,các nước phát triển,
熱い,NHIỆT,nóng,
熱い,NHIỆT,nóng,
熱心な,NHIỆT TÂM,nhiệt tâm,
熱中する,NHIỆT TRUNG,sự nhiệt tình để,
熱帯,NHIỆT ĐỚI,vùng nhiệt đới,
熱する,NHIỆT,nhiệt,
加熱,GIA NHIỆT,sưởi,
熱湯,NHIỆT THANG,nước sôi,
汚い,Ô,dơ bẩn,
汚れる,Ô,dơ bẩn,
汚す,Ô,ghét bỏ,
汚染,Ô NHIỄM,ô nhiễm,
汚れる,Ô,dơ bẩn,
汚職,Ô CHỨC,tham nhũng,
汚れる,Ô,dơ bẩn,
お皿,MÃNH,những cái đĩa,
灰皿,HÔI MÃNH,cái gạt tàn,
紙皿,CHỈ MÃNH,đĩa giấy,
大皿,ĐẠI MÃNH,dĩa gỗ,
小皿,TIỂU MÃNH,dĩa để dưới tách,
皿洗い,MÃNH TẨY,rửa chén bát,
お酒,TỬU,rượu,
酒屋,TỬU ỐC,quán rượu,
日本酒,NHẬT BỔN TỬU,rượu nhật,
飲酒運転,ẨM TỬU VẬN CHUYỂN,say rượu,
洋酒,DƯƠNG TỬU,rượu tây,
居酒屋,CƯ TỬU ỐC,tửu quán,
地酒,ĐỊA TỬU,vì lợi ích cục bộ,
付き合う,PHÓ HỢP,xã hội hóa,
片付ける,PHIẾN PHÓ,cất đi,
付ける,PHÓ,đặt,
付く,PHÓ,gậy,
日付/日付け,NHẬT PHÓ NHẬT PHÓ,ngày/ngày,
受付/,THỤ PHÓ,tiếp tân /,
受け付け,THỤ PHÓ,chấp thuận,
寄付,KÍ PHÓ,đóng góp,
付録,PHÓ LỤC,phụ lục,
片付ける,PHIẾN PHÓ,cất đi,
片道,PHIẾN ĐẠO,một chiều,
片方,PHIẾN PHƯƠNG,khác,
片手,PHIẾN THỦ,một bàn tay,
片言,PHIẾN NGÔN,sự hiểu biết sơ,
片寄る,PHIẾN KÍ,thịt nạc,
破片,PHÁ PHIẾN,mảnh vụn,
消す,TIÊU,dập tắt,
消える,TIÊU,biến mất,
消化する,TIÊU HÓA,tiêu hóa,
消防署,TIÊU PHÒNG THỰ,trạm cứu hỏa,
取り消す,THỦ TIÊU,hủy bỏ,
消去する,TIÊU KHỨ,trong sáng,
笑う,TIẾU,cười,
笑顔,TIẾU NHAN,nụ cười,
ほほ笑む,TIẾU,nụ cười,
微笑,VI TIẾU,nụ cười,
爆笑する,BỘC TIẾU,cười phá lên,
苦笑い,KHỔ TIẾU,nụ cười cay đắng,
幸せな,HẠNH,hạnh phúc,
不幸,BẤT HẠNH,bất hạnh,
幸運,HẠNH VẬN,chúc may mắn,
幸い,HẠNH,may mắn thay,
幸福な,HẠNH PHÚC,hạnh phúc,
幸,HẠNH,vận may,
苦い,KHỔ,đắng,
苦手,KHỔ THỦ,yếu,
苦しい,KHỔ,đau,
苦しむ,KHỔ,bị,
苦痛,KHỔ THỐNG,đau,
苦労,KHỔ LAO,khó khăn,
苦情,KHỔ TÌNH,lời phàn nàn,
恥ずかしい,SỈ,bối rối,
恥ずかしい,SỈ,bối rối,
恥ずかしがる,SỈ,rụt rè,
恥じる,SỈ,cảm thấy xấu hổ,
恥知らず,SỈ TRI,vô liêm sỉ,
眠い/眠たい,MIÊN MIÊN,the buồn ngủ/ngủ,
眠る,MIÊN,ngủ,
睡眠,THỤY MIÊN,ngủ,
居眠り,CƯ MIÊN,giấc ngũ ngắn,
冬眠,ĐÔNG MIÊN,ngủ đông,
催眠術,THÔI MIÊN THUẬT,thôi miên,
残念な,TÀN NIỆM,quá tệ,
残る,TÀN,còn lại,
残す,TÀN,rời khỏi,
残り,TÀN,còn lại,
残業,TÀN NGHIỆP,tăng ca,
残高,TÀN CAO,số dư,
残らず,TÀN,tổng,
残念な,TÀN NIỆM,quá tệ,
記念,KÍ NIỆM,lễ tưởng niệm,
記念日,KÍ NIỆM NHẬT,ngày kỷ niệm,
新年,TÂN NIÊN,năm mới,
念願,NIỆM NGUYỆN,trái tim của ham muốn,
無念, NIỆM,sự bất mãn,
概念,KHÁI NIỆM,khái niệm,
断念する,ĐOẠN NIỆM,bỏ,
感情,CẢM TÌNH,cảm xúc,
苦情,KHỔ TÌNH,lời phàn nàn,
事情,SỰ TÌNH,tình hình,
友情,HỮU TÌNH,tình hữu nghị,
表情,BIỂU TÌNH,biểu hiện,
情報,TÌNH BÁO,thông tin,
情け,TÌNH,thương xót,
風情,PHONG TÌNH,mùi vị,
決める,QUYẾT,quyết định,
決まる,QUYẾT,tùy theo,
決して,QUYẾT,không bao giờ,
決定,QUYẾT ĐỊNH,phán quyết,
決心,QUYẾT TÂM,phán quyết,
解決,GIẢI QUYẾT,nghị quyết,
決勝,QUYẾT THẮNG,cuối cùng,
判決,PHÁN QUYẾT,cầm quyền,
比べる,TỈ,so sánh,
比較,TỈ GIÁC,sự so sánh,
比較的,TỈ GIÁC ,tương đối,
対比,ĐỐI TỈ,sự so sánh,
比例,TỈ LỆ,tình trạng cân xứng,
授業,THỤ NGHIỆP,học phí,
教授,GIÁO THỤ,giáo sư,
授業料,THỤ NGHIỆP LIỆU,học phí,
授ける,THỤ,ban cho,
授かる,THỤ,nó được trao,
授受,THỤ THỤ,trao đổi,
復習,PHỤC TẬP,xem lại,
回復,HỒI PHỤC,phục hồi,
往復,VÃNG PHỤC,khư hôi,
復旧,PHỤC CỰU,phục hồi,
復興,"PHỤC HƯNG,HỨNG",tái thiết,
復活,PHỤC HOẠT,phục sinh,
反復,PHẢN PHỤC,lặp lại,
表,BIỂU,bàn,
表,BIỂU,bàn,
発表,PHÁT BIỂU,thông cáo,
便利な,TIỆN LỢI,tiện lợi,
表す,BIỂU,đại diện,
表紙,BIỂU CHỈ,che,
代表,ĐẠI BIỂU,tiêu biểu,
表情,BIỂU TÌNH,biểu hiện,
卒業,TỐT NGHIỆP,tốt nghiệp,
卒業生,"TỐT NGHIỆP SANH,SINH",tốt nghiệp,
大卒,ĐẠI TỐT,sinh viên tốt nghiệp đại học,
卒論,TỐT LUẬN,luận văn tốt nghiệp,
新卒,TÂN TỐT,sinh viên tốt nghiệp mới,
役に立つ,DỊCH LẬP,giúp,
市役所,THỊ DỊCH SỞ,toà thị chính,
役目,DỊCH MỤC,vai trò,
役者,DỊCH GIẢ,diễn viên,
役,DỊCH,vai trò,
主役,CHỦ DỊCH,nhân vật chính,
兵役,BINH DỊCH,nghĩa vụ quân sự,
全部,TOÀN BỘ,tất cả,
安全,AN TOÀN,sự an toàn,
全国,TOÀN QUỐC,cả nước,
全員,TOÀN VIÊN,tất cả thành viên,
全く,TOÀN,tất cả,
完全な,HOÀN TOÀN,hoàn toàn,
全力,TOÀN LỰC,tổng lực,
全て,TOÀN,tất cả,
必要な,TẤT YẾU,cần thiết,
必ず,TẤT,chắc chắn,
必死,TẤT TỬ,điên cuồng,
必修,TẤT TU,cần thiết,
必需品,TẤT NHU PHẨM,nhu yếu phẩm,
要る,YẾU,nhu cầu,
必要な,TẤT YẾU,cần thiết,
重要な,TRỌNG YẾU,quan trọng,
不要な,BẤT YẾU,không cần thiết,
要求,YẾU CẦU,yêu cầu,
要約,YẾU ƯỚC,tóm lược,
要するに,YẾU,trong ngắn,
主要な,CHỦ YẾU,major,
利用する,LỢI DỤNG,dùng,
利益,LỢI ÍCH,lợi,
利口な,LỢI KHẨU,thông minh,
権利,QUYỀN LỢI,đúng,
利子,LỢI TỬ,lãi,
左利き,TẢ LỢI,thuận tay trái,
寝る,TẨM,ngủ,
昼ね,TRÚ,tôi trưa,
寝坊,TẨM ,dậy muộn,
寝室,TẨM THẤT,phòng ngủ,
寝台車,TẨM THAI XA,xe có giường ngủ,
寝言,TẨM NGÔN,mơ ngủ,
生活,"SANH,SINH HOẠT",đời sống,
活動,HOẠT ĐỘNG,hoạt động,
活字,HOẠT TỰ,kiểu,
活気,HOẠT KHÍ,sự hoạt động,
活躍する,HOẠT DƯỢC,tích cực,
活用,HOẠT DỤNG,sử dụng,
活発な,HOẠT PHÁT,sống,
食生活,"THỰC SANH,SINH HOẠT",chế độ ăn uống,
祭り/祭,TẾ TẾ,lễ hội/lễ hội,
祭日,TẾ NHẬT,quốc khánh,
学園祭,HỌC VIÊN TẾ,lễ hội trường,
夏祭り,HẠ TẾ,lễ hội mùa hè,
祭る,TẾ,cất giữ,
平和,BÌNH HÒA,hòa bình,
和食,HÒA THỰC,thực phẩm nhật bản,
和食,HÒA THỰC,thực phẩm nhật bản,
英和辞典,ANH HÒA TỪ ĐIỂN,từ điển anh-nhật bản,
和やか,HÒA,hài hòa,
昭和,CHIÊU HÒA,showa,
和らぐ,HÒA,làm mềm,
共和国,CỘNG HÒA QUỐC,nước cộng hòa,
戦争,CHIẾN TRANH,chiến tranh,
争う,TRANH,cuộc thi,
競争する,CẠNH TRANH,cạnh tranh,
争い,TRANH,cuộc chiến đấu,
論争,LUẬN TRANH,tranh cãi,
治る,TRỊ,lành vết thương,
治す,TRỊ,chữa,
政治,"CHÍNH,CHÁNH TRỊ",chính trị,
政治家,"CHÍNH,CHÁNH TRỊ GIA",chính trị gia,
治める,TRỊ,quản lý,
治療,TRỊ LIỆU,điều trị,
治安,TRỊ AN,an ninh,
経済,KINH TẾ,kinh tế,
経済学,KINH TẾ HỌC,kinh tế học,
済む,TẾ,nhu cầu,
済ませる,TẾ,tha cho,
使用済み,SỬ DỤNG TẾ,tiêu,
返済する,PHẢN TẾ,trả lại,
救済,CỨU TẾ,giảm nhẹ,
法律,PHÁP LUẬT,pháp luật,
規律,QUY LUẬT,kỷ luật,
戒律,GIỚI LUẬT,giới luật,
一律に,NHẤT LUẬT,trên bảng,
自立死刑,TỰ LẬP TỬ HÌNH,độc lập với án tử hình,
律儀な,LUẬT NGHI,một chu đáo,
関係,QUAN HỆ,mối quan hệ,
国際関係,QUỐC TẾ QUAN HỆ,quan hệ quốc tế,
関心,QUAN TÂM,lãi,
関東,QUAN ĐÔNG,kanto,
関西,QUAN TÂY,kansai,
関取,QUAN THỦ,vật sumo,
玄関,HUYỀN QUAN,lối vào,
税関,THUẾ QUAN,hải quan,
関係,QUAN HỆ,mối quan hệ,
国際関係,QUỐC TẾ QUAN HỆ,quan hệ quốc tế,
係り,HỆ,liên quan,
係員,HỆ VIÊN,có mặt,
人間関係,NHÂN GIAN QUAN HỆ,quan hệ con người,
無関係, QUAN HỆ,không có quan hệ,
係る,HỆ,có liên quan,
暖かい,NOÃN,nóng,
暖める,NOÃN,nóng,
選ぶ,TUYỂN,chọn,
暖まる,NOÃN,ấm lên,
暖房,NOÃN PHÒNG,sưởi,
温暖な,ÔN NOÃN,ôn hòa,
暖冬,NOÃN ĐÔNG,mùa đông ôn hòa,
静かな,TĨNH,yên lặng,
静まる,TĨNH,lún xuống,
冷静な,LÃNH TĨNH,yên lặng,
安静,AN TĨNH,còn lại,
静養する,TĨNH DƯỠNG,hồi phục,
静脈,TĨNH MẠCH,tĩnh mạch,
公園,CÔNG VIÊN,công viên,
動物園,ĐỘNG VẬT VIÊN,vườn bách thú,
遊園地,DU VIÊN ĐỊA,công viên giải trí,
幼稚園,ẤU TRĨ VIÊN,mẫu giáo,
園芸,VIÊN NGHỆ,nghề làm vườn,
庭園,ĐÌNH VIÊN,vườn,
エデンの園,VIÊN,garden of eden,
連れて行く,LIÊN HÀNH,đem lại,
連続,LIÊN TỤC,liên tục,
連絡する,LIÊN LẠC,tiếp xúc,
関連,QUAN LIÊN,thuật lại,
連休,LIÊN HƯU,ngày lễ liên tiếp,
連なる,LIÊN,mở rộng,
国際連合/国連,QUỐC TẾ LIÊN HỢP QUỐC LIÊN,liên hiệp quốc,
右側,HỮU TRẮC,đúng,
両側,LẠNG TRẮC,cả hai bên,
向こう側,HƯỚNG TRẮC,phía bên kia,
側面,TRẮC DIỆN,bên,
反対側,PHẢN ĐỐI TRẮC,mặt khác,
外側,NGOẠI TRẮC,bên ngoài,
内側,NỘI TRẮC,trong,
葉,DIỆP,lá,
言葉,NGÔN DIỆP,lời nói,
葉書,DIỆP THƯ,bưu thiếp,
選手,TUYỂN THỦ,người chơi,
紅葉,HỒNG DIỆP,lá mùa thu,
紅葉,HỒNG DIỆP,lá mùa thu,
落ち葉,LẠC DIỆP,lá rụng,
景色,CẢNH SẮC,phong cảnh,
景気,CẢNH KHÍ,kinh tế,
不景気,BẤT CẢNH KHÍ,suy thoái kinh tế,
風景,PHONG CẢNH,cảnh,
夜景,DẠ CẢNH,xem đêm,
背景,BỐI CẢNH,lý lịch,
光景,QUANG CẢNH,cảnh tượng,
景品,CẢNH PHẨM,giải thưởng,
形,HÌNH,hình thức,
人形,NHÂN HÌNH,búp bê,
形容詞,HÌNH DUNG TỪ,tính từ,
過去形,QUÁ KHỨ HÌNH,thì quá khứ,
現在形,HIỆN TẠI HÌNH,hình thức hiện nay,
図形,ĐỒ HÌNH,đồ họa,
正方形,CHÁNH PHƯƠNG HÌNH,vuông,
形見,HÌNH KIẾN,vật kỷ niệm,
結婚する,KẾT HÔN,cưới,
結ぶ,KẾT,dây giày,
結果,KẾT QUẢ,kết quả,
結論,KẾT LUẬN,phần kết luận,
結う,KẾT,bím tóc,
結局,KẾT CỤC,sau khi tất cả,
団結する,ĐOÀN KẾT,kết bằng băng,
結構,KẾT CẤU,rất tốt,
子供,TỬ CUNG,con cái,
備える,BỊ,cung cấp,
供給する,CUNG CẤP,cung cấp,
提供する,ĐỀ CUNG,cung cấp,
試供品,THÍ CUNG PHẨM,quà tặng,
お供する,CUNG,để đi cùng,
供養,CUNG DƯỠNG,dịch vụ cầm đồ,
若い,NHƯỢC,trẻ,
若者,NHƯỢC GIẢ,giới trẻ,
若々しい,NHƯỢC,trẻ,
若しくは,NHƯỢC,hoặc,
若輩,NHƯỢC BỐI,người trẻ,
老若男女,LÃO NHƯỢC NAM NỮ,trẻ và già,
息,TỨC,hơi thở,
息子,TỨC TỬ,con trai,
休息,HƯU TỨC,còn lại,
息をする,TỨC,tôi thở,
消息,TIÊU TỨC,tin tức,
ため息,TỨC,tiếng thở dài,
息切れ,TỨC THIẾT,khó thở,
息抜き,TỨC BẠT,lúc nghỉ ngơi,
祖父,TỔ PHỤ,ông nội,
祖母,TỔ MẪU,bà ngoại,
祖先,TỔ TIÊN,tổ tiên,
祖国,TỔ QUỐC,quê hương,
先祖,TIÊN TỔ,tổ tiên,
祖父母,TỔ PHỤ MẪU,ông bà,
元祖,NGUYÊN TỔ,người sáng tạo,
教祖,GIÁO TỔ,người sáng lập môn phái,
教育,GIÁO DỤC,sự giáo dục,
育てる,DỤC,lớn lên,
育つ,DỤC,lớn lên,
体育,THỂ DỤC,thể dục,
育児,DỤC NHI,chăm sóc trẻ em,
保育,BẢO DỤC,chăm sóc trẻ em,
飼育する,TỰ DỤC,giống,
取る,THỦ,lấy,
受け取る,THỤ THỦ,nhận,
取り出す,THỦ XUẤT,đi ra,
取り消す,THỦ TIÊU,hủy bỏ,
取り替える,THỦ THẾ,thay thế,
聞き取り,VĂN THỦ,nghe,
取材する,THỦ TÀI,phỏng vấn,
危ない,NGUY,hiểm nghèo,
危険,NGUY HIỂM,nguy hiểm,
危うい,NGUY,hiểm nghèo,
つり橋,KIỀU,cầu treo,
危害,NGUY HẠI,làm hại,
危機,NGUY CƠ,khủng hoảng,
危篤,NGUY ĐỐC,tình trạng nguy kịch,
最初,TỐI SƠ,đầu tiên,
最後,TỐI HẬU,cuối cùng,
最近,TỐI CẬN,mới đây,
最高,TỐI CAO,cao nhất,
最低,TỐI ĐÊ,thấp nhất,
最新,TỐI TÂN,mới nhất,
最も,TỐI,hầu hết các,
最終電車,TỐI CHUNG ĐIỆN XA,chuyến cuối,
一番,NHẤT PHIÊN,hầu hết các,
番号,PHIÊN HÀO,số,
二番目,NHỊ PHIÊN MỤC,thứ hai,
当番,ĐƯƠNG PHIÊN,nhiệm vụ,
交番,GIAO PHIÊN,sự xoay chiều,
番組,PHIÊN TỔ,chương trình,
留守番電話,LƯU THỦ PHIÊN ĐIỆN THOẠI,máy trả lời,
順番,THUẬN PHIÊN,trật tự,
一億,NHẤT ỨC,một trăm triệu,
十億,THẬP ỨC,tỷ,
億万長者,ỨC VẠN TRƯỜNG GIẢ,tỷ phú,
点,ĐIỂM,điểm,
弱点,NHƯỢC ĐIỂM,yếu đuối,
交差点,GIAO SAI ĐIỂM,giao của biến số,
点数,"ĐIỂM SỔ,SỐ",số điểm,
欠点,KHIẾM ĐIỂM,nhược điểm,
百店,BÁCH ĐIẾM,bách điếm,
句読点,CÚ ĐỌC ĐIỂM,chấm câu,
要点,YẾU ĐIỂM,điểm,
階段,GIAI ĐOẠN,cầu thang,
一段,NHẤT ĐOẠN,sân khấu,
一段と,NHẤT ĐOẠN,hơn,
段階,ĐOẠN GIAI,sân khấu,
手段,THỦ ĐOẠN,phương tiện,
値段,TRỊ ĐOẠN,giá,
